host,apex,signal_priority,priority_reason,included_via_subdomain,included_via_redirect,included_reason,redirect_target,redirect_chain,mx_present,spf,dkim_found,dmarc_policy,dnssec,mail_vendors,http_present,http_status,portal_signal,ct_count,breach_flag,score
macleayvalleycoastholidayparks.com.au,macleayvalleycoastholidayparks.com.au,High,score=16 → High; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.macleayvalleycoastholidayparks.com.au,https://macleayvalleycoastholidayparks.com.au/ -> https://www.macleayvalleycoastholidayparks.com.au/,True,v=spf1 include:au._netblocks.mimecast.com ip4:149.72.218.140 include:sendgrid.net include:spf.newbook.cloud include:spf.protection.outlook.com -all,False,reject,False,mimecast,True,301,True,,,16
toowoonbayholidaypark.com.au,toowoonbayholidaypark.com.au,Medium,score=8 → Medium; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast'],False,False,,,http://www.toowoonbayholidaypark.com.au/,True,v=spf1 include:au._netblocks.mimecast.com -all,False,reject,False,mimecast,False,,False,,,8
gordonrivercruises.com.au,gordonrivercruises.com.au,High,score=16 → High; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.gordonrivercruises.com.au,https://gordonrivercruises.com.au/ -> https://www.gordonrivercruises.com.au/,True,v=spf1 include:au._netblocks.mimecast.com include:spf.customlinc.com -all,False,reject,False,mimecast,True,301,True,,,16
myexpeditions.com.au,myexpeditions.com.au,Medium,score=8 → Medium; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast'],False,False,,,http://www.myexpeditions.com.au/,True,v=spf1 include:au._netblocks.mimecast.com include:mailrelay.t1cloud.com include:_spf.travelclick.com -all,False,reject,False,mimecast,False,,False,,,8
strahanvillage.com.au,strahanvillage.com.au,High,score=16 → High; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.strahanvillage.com.au,https://strahanvillage.com.au/ -> https://www.strahanvillage.com.au/,True,v=spf1 include:au._netblocks.mimecast.com include:_spf.travelclick.com include:spf.customlinc.com ip4:192.29.151.17 ip4:192.29.149.57 -all,False,reject,False,mimecast,True,301,True,,,16
freycinetlodge.com.au,freycinetlodge.com.au,High,score=17 → High; +4 MX present; +2 SPF -all (hard fail); +1 DMARC p=quarantine; +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.freycinetlodge.com.au,https://freycinetlodge.com.au/ -> https://www.freycinetlodge.com.au/,True,v=spf1 include:au._netblocks.mimecast.com include:_spf.travelclick.com ip4:192.29.151.17 ip4:192.29.149.57 include:oracleindustry.com -all,False,quarantine,False,mimecast,True,301,True,,,17
norahheadholidaypark.com.au,norahheadholidaypark.com.au,Medium,score=8 → Medium; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast'],False,False,,,http://www.norahheadholidaypark.com.au/,True,v=spf1 include:spf.protection.outlook.com include:au._netblocks.mimecast.com -all,False,reject,False,mimecast,False,,False,,,8
nrmaexpeditions.com.au,nrmaexpeditions.com.au,Low,score=-1 → Low; -2 No MX (email risk dampened); +1 DNSSEC absent,False,False,,,http://www.nrmaexpeditions.com.au/,False,,False,,False,,False,,False,,,-1
pumphousepoint.com.au,pumphousepoint.com.au,High,score=17 → High; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.pumphousepoint.com.au,https://pumphousepoint.com.au/ -> https://www.pumphousepoint.com.au/,True,v=spf1 include:au._netblocks.mimecast.com include:_spf.google.com include:spf.em.secureserver.net include:_spf.createsend.com include:spf.newbook.cloud ~all,True,reject,False,mimecast,True,301,True,,,17
nrma blue,nrma blue,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
nrma agm,nrma agm,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
